id,title,company,content,publicationDate,location,type,tags
209,Robotics Software Engineer - Integration,ViaBot,About Us Here at ViaBot we're building a robot made to tackle real-world tasks. We're a robotics startup based in the heart of Silicon Valley with a forward-thinking and exceptional team that's ever-growing. Our aim is to change the way people see robots--not as gimmicks or as one-trick ponies but as sensible solutions to sizable problems. Enter RUNO: an autonomous mobile robot designed to handle outdoor commercial tasks such as sweeping and grass cutting. Learn more about us at: https://www.viabot.com/ Responsibilities ViaBot is looking for a passionate Robotics Software Engineer looking to get involved with all aspects of the development of AMRs as a viable commercial solution. Our ideal candidate is resourceful hard-working and not afraid to get their hands dirty while programming testing and maintaining these bots. They will be responsible for: Initial tasks will include: Qualifications,2022-03-29 15:41:25.473450,[United States] Sunnyvale CA,Full-Time,15
210,Hardware Engineer,Compunnel Inc.,,2022-03-29 15:41:25.473505,[United States] Irving TX,Full-Time,15
211,IOT Solution Engineer,relayr,As a Solution Engineer based out of our Chicago office or remote you will assist our engineering team in identifying the best fit to customer on-site needs bridging the physical and digital world with a product-oriented approach. You will also collaborate with the product development teams to align roadmaps provide meaningful feedback and insight on required features. Lastly you will work closely with the global Engineering organization to provide feedback and technical support as needed. Above all we are looking for people who will contribute to the success of relayr. We love diverse experiences so even if you don't meet all the requirements but think you'd thrive in this role we would really like to learn more about you. Your Responsibilities: Our Expectations: We Offer: At relayr we are passionate about creating an inclusive workplace that promotes and values diversity. As firm believers in the power of different perspectives we encourage our employees to share knowledge and exchange bold ideas to help innovation in the IoT industry thrive. We are committed to creating a fair supportive and open environment for all.,2022-03-29 15:41:25.473537,[United States] United States,Full-Time,15
212,Embedded Systems Engineer (IoT),Meet,Summary Do you want to be a part of a fast-growing medical technology company that helps provide medical laboratory equipment around the world? I am partnered with a company that is looking to hire a Embedded Systems Engineer in the Bay Area. This role will have you working on developing testing and supporting embedded systems as a part of a cohesive cross functional team. Job Description Skills required Contact Feel free to reach out to Alex at Meet recruitment by either calling +1 (310) 699-4601 or emailing alex.wessel@peoplewithchemistry.com for more information. Apply quickly as this is a new and highly sought-after position! Full job description and company detail will be available after applying.,2022-03-29 15:41:25.473624,[United States] Morgan Hill CA,Full-Time,15
213,Product Marketing Manager – Micro-Sensors – Bay Area - ~$150k-200k (DOE),IC Resources,Product Marketing Manager – Micro-Sensors – Bay Area - ~$150k-200k (DOE) I’m working with a small U.S. based start-up which is developing the next generation of MEMS sensors. They are currently looking to hire a Product Marketing Manager based around the Bay Area. You will have a background successfully taking technical products to market developing agile marketing strategies for disruptive and innovative new technologies. You will report directly to the CEO and work closely alongside Engineering and R&D teams taking ownership of the product roadmap and vision for the company’s future. Requirements ~$150k-200k (DOE) + Options! If you are interested in this Product Marketing Manager position then do not hesitate to reach out to Zohaib at IC Resources.,2022-03-29 15:41:25.473666,[United States] San Francisco Bay Area,Full-Time,15
214,IOT Hardware Engineer,SDK,“MUST HAVE” SPECIFIC KNOWLEDGE AND SKILLS ADDITIONAL SKILLS AND OTHER REQUIREMENTS,2022-03-29 15:41:25.473709,[United States] Irving TX,Full-Time,15
215,Mechanical Engineer – Micro-Sensors – Bay Area - ~$150k-200k (DOE),IC Resources,Mechanical Engineer – Micro-Sensors – Bay Area - ~$150k-200k (DOE) I’m working with a small U.S. based start-up which is developing the next generation of MEMS sensors. They are currently looking to hire a Product Marketing Manager based around the Bay Area. You will have a background successfully taking technical products to market developing agile marketing strategies for disruptive and innovative new technologies. You will report directly to the CEO and work closely alongside Engineering and R&D teams taking ownership of the product roadmap and vision for the company’s future. Requirements ~$150k-200k (DOE) + Options! If you are interested in this Product Marketing Manager position then do not hesitate to reach out to Zohaib at IC Resources.,2022-03-29 15:41:25.473745,[United States] San Francisco Bay Area,Full-Time,15
216,IoT engineer,Larsen & Toubro,Able to manage the contractors for installationwork with the site and the OEM for the sensors. These are pretty intelligent sensors that report through the cloud so they will need to have a solid background in I&C and IOT experience. IND123,2022-03-29 15:41:25.473786,[United States] St Albans VT,Full-Time,15
217,Analog IC Design Engineers,GOODIX Technology INC.,Goodix Austin is growing! We work on industry leading technologies for future products in the consumer electronics space. Are you an analog IC design engineer who likes working in a fast-paced collaborative environment that values independent thought and likes ownership driven responsibilities right here in Austin in the heart of Texas? The Austin R&D Design Center was established in early 2019 to tackle the CMOS Image Sensor market. We aim to design innovative best-in-class CMOS image sensors and gain market share through differentiation. Analog IC Design Engineers This is a great opportunity for junior and mid-level Analog IC design professionals to work in a tight-knit and seasoned design group with high visibility close mentorship and growth potential. Responsibilities: · Interface with customer and system engineer to understand the required solution. · Assess technical feasibility develop product specifications and drive architecture definition for new products and circuit blocks. · Leverage industry state-of-the-art knowledge to design new and innovate high performance analog and mixed signal circuits finding the right optimization of cost power and performance to provide the best customer solution. · Simulate and verify design solutions meet expected performance levels. · Provide meaningful reports on design proposals and implementation (design reviews). · Coordinate custom layout development driving floorplan and providing guidance to layout engineers. · Perform laboratory evaluation and debug of new solutions and provide support to test and validation teams to guarantee performance in full production programs. Education: · MS or PhD in EE with 4-8 years in the industry Qualifications: · Strong capability in transistor-level analog circuit design. · Fluency in concepts related to noise system stability linearity and signal processing and digitization. · Understanding of device fundamentals and fabrication process and layout non-idealities. · Experience and familiarity with traditional analog mixed signal circuit block features and design including amplifiers regulators bandgaps oscillators and data converters. · Ability to use various circuit simulation tools such as Spectre Matlab and/or Hspice. Goodix Technology (www.goodix.com) is a global company traded on the Shanghai stock exchange (SH: 603160). We are an integrated solutions provider for applications based on IC design and software development. We offer market-leading state-of- the-art solutions for smart devices IoT applications and automotive electronics . Goodix is recognized as the largest solution provider of biometric authentication for Android devices in the global market. We provide products and solutions to hundreds of millions of consumers globally via renowned brands including Huawei OPPO VIVVO Xiaomi OnePlus Google Amazon Samsung Nokia Dell HP LG ASUS and others.,2022-03-29 15:41:25.473824,[United States] Austin TX,Full-Time,15
218,Field Application Engineer,3d Signals,3d Signals helps manufacturers transition to becoming an industry 4.0 “factory of the future”. Using IoT and AI tools our solution enables immediate visibility into the production floor transforming data into powerful insights and actionable business intelligence in the cloud. 3d Signals was selected as Top 100 Europe 2020 & 2021 by Red Herring and as Technology Pioneer by the World Economic Forum. 3d Signals offers a unique working environment where the “it’s all about people” approach enables employees to fulfill their inspiration and potential. We’re expanding our installation team in the U.S. and we’re looking for a Field Application Engineer (FAE) with a technical background and a team player attitude. Familiarity with shop floor manufacturing is a strong plus. Responsibilities: Requirements: So If you think that…You will do what it takes to get the job done. We can trust you to raise a flag when doing a mistake (we all do…). You have an understanding of technology (how engines work electricity knowledge etc). You’re not afraid of getting your hands dirty on the production floor. Interested? To apply email us your CV to shai.zukerman@3dsignals.com,2022-03-29 15:41:25.473909,[United States] Dallas TX,Full-Time,15
219,Junior Firmware Engineer,Safehub,Company description Want to save lives and make cities more resilient? At Safehub we are reshaping catastrophe risk and resilience from individual buildings to portfolios. Through our SaaS/IoT solution we provide real-time building-specific earthquake damage information to customers globally. In March 2021 Safehub raised a series A round from Silicon Valley's top early-stage funds and investors. We have excellent traction having developed our core product and are working with fantastic early-adopting customers. Yet we're still small enough to offer the ground-floor benefits of a venture-backed startup including significant career growth and financial upside potential. You will join a strong team from diverse backgrounds including PhDs and founders who have built previous companies in this domain. For more information see www.safehub.io. Safehub is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. What You'll Do As a Junior Firmware Engineer at Safehub you'll work on creating robust high-availability IoT sensors which store data and interact with our server infrastructure. The position encompasses a wide spectrum of firmware engineering tasks: Our platform and devices have the potential to transform the way individuals and companies respond to earthquakes by providing accurate understandings of damage inflicted to buildings. Along with working on an exciting product you'll have a variety of benefits such as: What We're Looking For: Must have: Nice To Have:,2022-03-29 15:41:25.474013,[United States] San Francisco Bay Area,Full-Time,15
220,Director Corporate Entrepreneur IoT & Secure Communications,Infineon Technologies,,2022-03-29 15:41:25.474087,[United States] California United States,Full-Time,15
221,R&D Software Engineer (Full-time),Delsys Inc,Delsys is seeking highly motivated candidates to contribute to our research and development of next-generation human-centric sensor technology. Delsys R&D Software Engineers collaborate with engineers and scientists to solve challenges spanning the fields of movement science & human health including the development of neural interface technology autonomous machine learning algorithms for tracking human movement computational methods to improve the clinical assessment of speech/voice disorders and quantitative techniques to enhance augmentative and alternative communication system access. Primary Responsibilities Desired Qualifications,2022-03-29 15:41:25.474126,[United States] Greater Boston,Full-Time,15
222,IoT Manager,Deloitte,,2022-03-29 15:41:25.474162,[Europe] Zaventem Flemish Region Belgium,Full-Time,15
223,Embedded Software Engineer,Niko,What will you do as a (junior) Embedded Software Developer? As a (junior) Embedded Software Developer in the Niko R&D team you contribute to the software development of our IoT solutions for home automation mainly Niko Home Control and its different modules. You are part of a scrum team that designs develops and implements our platform and its software features with focus on the embedded part. Development is primarily on state-of-the-art embedded Linux devices that are cloud connected but can also be on bare metal microcontrollers (e.g. sensors) or Android devices (e.g. touchscreens). Who are we looking for? We are looking for a (junior) embedded software developer with at least a first experience with embedded development in C. You hold a bachelor’s or master’s degree in computer science or electronic engineering or equal through experience. In addition you have knowledge of / experience with: On a personal level you are a passionate embedded software developer who is always up to date in terms of new technology. You have a systematic approach in your way of working and able to keep sense of perspective of the different tasks. We expect you to have good communication skills and the ability to engage with many different people both internally in the organization and externally. You have excellent written and verbal communication skills in English. Dutch is a plus. What do you get from us?,2022-03-29 15:41:25.474195,[Europe] St-Niklaas Flemish Region Belgium,Full-Time,15
224,Embedded Software Engineer,Niko,What will you do as an Embedded Software Developer? As an Embedded Software Developer in the Niko R&D team you contribute to the software development of our IoT solutions for home automation mainly Niko Home Control and its different modules. You are part of a multidisciplinary scrum team that takes ownership of designing and implementing our platform and its software features with focus on the embedded part. Development is primarily on state-of-the-art embedded Linux devices that are cloud connected but can also be on bare metal microcontrollers (e.g. sensors) or Android devices (e.g. touchscreens). Who are we looking for? We are looking for an embedded software developer with a couple of years of experience with embedded development in C. You hold a bachelor’s or master’s degree in computer science or electronic engineering or equal through experience. In addition you have: On a personal level you are a passionate embedded software developer who is always up to date in terms of new technology. You have a systematic approach in your way of working and able to keep sense of perspective of the different tasks. We expect you to have good communication skills and the ability to engage with many different people both internally in the organization and externally. You have excellent written and verbal communication skills in English. Dutch is a plus. What do you get from us?,2022-03-29 15:41:25.474266,[Europe] St-Niklaas Flemish Region Belgium,Full-Time,15
225,Junior Hardware Engineer,Xavor Corporation,Job overview: Xavor Corporation is an innovation-oriented startup internationally recognized for innovation and customer excellence by leading technology partners like Microsoft IBM Oracle etc. It was founded in Irvine California. The office is supported globally by Shanghai China and Lahore in Pakistan. We are now looking for an ambitious Hardware Engineer to join our growing startup team in Shenzhen. As a Hardware Engineer you’ll maximize sales opportunities by providing technical expertise and support to our partners customers and sales teams. You’ll work closely with our international engineer team as well as the sales team and customers on technical onboarding and training. As a pro-active team player you’ll be comfortable presenting in person and also via conference call and web demonstrations. Core Responsibilities · Coordinate with R&D Lab Engineering and Product Managers on requests for sourcing of electronic components and other items from China that are needed for Smart Product Development. · Find suitable supplier who meets the technical specifications and also the price point and quality parameter. · Prepare the packing list pro-forma invoice packaging and coordinate with Pakistan office for proper approved air or sea shipment channels. · Responsible for the company's equipment procurement needs of the quotation purchase delivery follow-up and other work; · Responsible for the testing installation of hardware equipment responsible for quality issues with the supplier; · Responsible for the hardware industry related equipment market information collection equipment resources survey; · Manages technical aspects of product development and technology partners/vendors/suppliers’ relationships. · Provide pre and post-sales support for every hardware& software in between · Identify and Process change orders needed during project roll out for additional equipment · Project delivery is key to success in this role and essential in the Company’s strategy. · Excellent project planning & management skills along with strong analytical and problem-solving skills are a pre-requisite for success in this role. Key Requirements · Education: BS/MS in Supply Chain Logistic Computer Science Electrical Engineering Embedded systems or related majors · Language: Chinese & English (Both should be must so that it can act as a communication bridge) · Preferred Qualifications and Skills: · Candidates should have a solid proficiency in the following areas: o Be able to communicate smoothly with different hardware components vendors and identify the suitable ones for our projects and feed back to our Pakistan engineers. o Components sourcing in China market o Experience in Electronic PCB Designing and Soldering will be preferred. o Creative approach to design and problem solving able to research problems as needed o Positive "can-do" attitude integrity and high ethics. o You are responsible for shipping components/product that needed for different projects. o You are passionate about developing great products and still know that you sometimes have to make some tradeoffs to ship quickly. · Candidates with following skills will be highly appreciated: o Understand PCB sensors chips circuit boards etc hardware components. o Proficient in block diagram circuit schematic PCB design. o Practical knowledge of embedded systems IoT. o Proficient in soldering SMD and DIP components. o Hands on experience on variety of micro-controllers like STM Series Arduino ESP8266 ESP32 Raspberry Pi Orange Pi etc What Will You Get at Xavor? · Direct exposure to high-end cutting-edge technologies such as AI big data and IoT · Understanding of the innovation process and application of emerging technologies · Connection with some of the finest minds in the technology research and innovation sectors who’re contributing in the development of future products in the leading markets like United States. · A true multi-national and cross-cultural work experience. Enjoy real-time communication and collaboration among colleagues offices in China and Pakistan. · Unlimited learning and self-development opportunities,2022-03-29 15:41:25.474339,[China] Shenzhen Guangdong China,Full-Time,15
226,Sr. Electronic Engineer,Eaton,This exciting role offers opportunity to: l Be a highly technical individual to participate in a product engineering team in the design analysis modification or enhancement of wiring devices. Work to meet cost performance and schedule requirements. l Provide design specification define the test requirement and perform qualification test in support of product cost reduction program strategic sourcing opportunities product upgrade manufacturing issues and any other product design changes. l Perform root cause failure analysis analyze complex malfunctioning electrical and electro-mechanical circuits or systems and satisfactorily design and test a solution for the malfunction. l Develops and interprets schematic diagrams engineering sketches and assembly drawings for constructing breadboards prototype and production hardware. l Guide and/or conduct testing to regulatory agency internal standards and international standards such as UL CSA NEMA FCC. l Applies knowledge of internal/external processes to develop and implement strategic work assignments. Writes reports test plans functional specifications hardware descriptions and other related or supporting levels of documentation. l Coordinate with production team to solve production issue expertise on product manufacturing cost and to discuss with manufacturing department to develop and review product cost estimates. l Research new technology and electronic circuit application; contribute innovations and present Patent applications to new product design work. l Work with Engineering Services to develop and release product design documentation Work including drawings schematics PCB designs Bills of Material etc. through the ECN process l Takes accountability for meeting commitments and deadlines Requirement: l Bachelor or Master’s degree in Electronic Engineer Electronic Information Engineering Electrical Engineering Power Electronics Automation etc. l 5+ years of experience in circuit design solid analog design experience especially AC-DC design Expert in Altium Designer EDA tools for electronic design. l Master electrical circuits and products design expert in analog and digital circuit electrical machinery control and test/development instrumentation familiar with product system analysis or simulation. l Experience in engineering document control and familiar with processing revisions on product documentation through the requirements of Product Lifecycle Management (PLM) systems. l Good Skills in collaboration and teamwork as well as multi-tasking. l Good communication skills (English – both written and verbal) l Self-motivated and strong self-learning ability. l Experience of hardware design for Electro Magnetic Interference / Compatibility (EMC/EMI) problem solving trouble shooting is preferred. l Experience in the field of wiring device electronics products family with related UL certification requirement. l Experience of IoT product with WIFI/ Bluetooth etc. (development engineering qualification testing commissioning and troubleshooting) is a plus. l Experience of residential circuit protection product is a plus. Yes! Because you are the one we are looking for we hope to hear from you now!,2022-03-29 15:41:25.474518,[China] Pudong Shanghai China,Full-Time,15
227,Doctoral Student,UTS-RFCT Lab,Project Overview PhD Scholarships are available for outstanding candidates to work on a 3-year PhD program at the University of Technology Sydney (UTS) within the RF and Communications Technologies (RFCT) lab. The RFCT lab based within the Faculty of Engineering and IT brings together a collaborative multidisciplinary research and development group engaged in industry-based R&D. Successful PhD candidates will join a collaborative industry led R&D project comprising Bosch Food Agility CRC and UTS. The candidates will work effectively as part of a multi-disciplinary collaborative research team to undertake independent scientific investigations and carry out associated tasks under the guidance of senior industry researchers and academics. Quality research outcomes and publications in high impact journals and conferences will be expected. Project Descriptions: ﻿ PhD Project 1: With the rapid adoption of the Internet of Things (IoT) across a range of critical industries (e.g. agriculture) cybersecurity and sensor/device tampering incidences are on the rise and present a significant challenge. The PhD candidate will undertake research into security and integrity of data at the point of inception (edge) in IoT environments where data from devices sensors or users is collected processed and analyzed to support data-driven business objectives. Sequel to this is the prevention against leakage and unauthorized sharing of Personal Identifiable Information (PII) and compliance with privacy regulations. This project aims to develop an integrity and privacy-preserving data storage and analytics framework. The main skills required are a good understanding of embedded systems IoT security and privacy and machine learning with solid programming skills in C/Python. PhD Project 2: Federated Learning (FL) is a modern approach for training machine learning models across multiple decentralised systems each holding local potentially sensitive data. The PhD candidate will work on Computing on Encrypted Data technologies in particular Secure Multiparty Computation (MPC) to realize secure aggregation for FL. This work will span cryptographic algorithmic and hardware acceleration aspects. The main skills required are a good understanding of cryptographic algorithms hardware accelerated computing mechanisms (e.g. FPGAs) for modern cryptography and solid programming skills in C/Python. Familiarity with contemporary machine learning models is also highly desirable. PhD Project 3: Failure to develop trust relationships between primary service providers end-users and 3rd-party service providers is among the most important reasons for failures of innovation and transaction platforms. The PhD candidate will work on the design and development of methods and infrastructure for trusted digital cleanroom/marketplaces. Privacy-preserving computing technologies (PPCTs) will be employed to preserve ownership guarantee sovereignty and create confidence that an asset will deliver value once acquired. Skills required are a good understanding of PPCTs such as Secure Multiparty Computation (MPC) and Trusted Execution Environments (TEEs) as well as solid programming skills in C/Rust and Python. Familiarity with anonymization techniques e.g. for differential privacy as well as with contemporary machine learning models is also highly desirable. Scholarships The scholarships are available to eligible domestic/international candidates to undertake 3-year full-time Ph.D. program. The scholarships are comprised of a Tuition Fee Offset and a Living Allowance Stipend. The value and tenure of the scholarships is a full-time stipend rate of $28854 per annum (2022 rate indexed annually). Expressions of Interest Prospective applicants should submit an expression of interest by providing the following information by email to Justin Lipman: justin.lipman@uts.edu.au We are seeking applicants with outstanding academic merit with prior research experience in modern cryptography and hardware acceleration machine learning trusted digital cleanrooms/marketplaces and IoT security and privacy. To be competitive in winning a scholarship you will need the following:,2022-03-29 15:41:25.474636,[Australia] Sydney New South Wales Australia,Full-Time,15
228,Water Consulting Manager,Taggle Systems,Want to make a difference with your life? Water is a scarce resource and it’s only getting more challenging. Australia is the driest continent and other countries face the same challenges as us. We are one of the market leaders for smart water monitoring solutions from remote IOT devices to water software. Taggle is an Australian based IoT tech company with a leading market position in Smart Water technology to deliver greater control and stewardship over water assets.  We are the market leader in automatic meter reading (AMR) in Australia and the first to deliver Low Power Wide Area Networks (LPWAN) radio technology offering low-cost low-power long range communications for many types of sensors and devices to the water industry. We use our proprietary radio technology along with other standards (e.g. NBioT) to deploy Australia’s only dedicated Machine to Machine (M2M) network enabling cost-effective data collection from thousands of devices across very wide urban and regional areas. The role We are seeking a Water Consulting Manager to create a team delivering an interesting and varied range of consultancy work for Councils and Water Utilities.  Reporting to the Sales Director you will scope and deliver consultancy services working with Taggle customers and prospects. This will involve working with customers and prospects to identify opportunities developing proposals win work deliver the project and identify the improvements made. The successful applicant will be involved in the development and application of technical skills in consultancy. The purpose of the role is to assist our customers and prospects improve their water related outcomes and provide measurable results. The major focus includes: Building the team and company capabilities: Building customer capabilities: Responsibilities include: Your background and experience will include: More about Taggle Initially focused on utility-scale automatic meter reading (AMR) our network is used by a growing number of utilities to gather data for additional “Smart Water” purposes such as leak detection demand management network optimisation and billing. Data can also be collected from other sources including electricity and gas meters rain gauges pressure sensors liquid overflow temperature and humidity sensors. The data we collect is a source of potential source of rich analytics which could further enhance Taggle’s services and offerings. We are building networks across Australia. As new technology and standards for LPWAN emerge we plan to incorporate them into our networks.  We deliver seamless data and analytics across multiple radio technologies including our own radio technology to provide our customers with the most appropriate solutions tailored to their needs. Interested? Apply online now. For further information see our website: www.taggle.com.au,2022-03-29 15:41:25.474799,[Australia] Australia,Full-Time,15
229,Senior Electronics/Electrical Engineer supporting R&D Projects,Provectus Algae,Apply for this role via: https://provectusalgae.bamboohr.com/jobs/view.php?id=38 Provectus Algae is an Australian biotech company founded in 2018 we program algae to produce the world's most valuable specialty ingredients. By accelerating nature our team is able to identify and optimise unique microalgae to produce a whole new range of natural products in a process we call Precision Photosynthesis®. The company has also developed a synthetic biology stack that complements and competes with existing production platforms to deliver novel high-performance products for our global customers. We are seeking a talented Senior Electrical/Electronics/Automation Engineer to join our multi-disciplinary team of engineers and biologists based in Noosaville Queensland. Playing a key role in the development and integration of our biomanufacturing platform you will collaborate with production engineering and software teams to design manufacture and integrate electronics and automation components in both small-scale experimental equipment and large-scale process systems. This is a key role in a rapidly growing business with the opportunity to develop a diverse scope of technology robotics and automation equipment for real-world applications. Key Responsibilities Qualifications/Skills We Offer At Provectus Algae we are a progressive creative and imaginative team that believes the best solutions come from bringing together the best minds and a broad range of perspectives. We deeply care about creating a workplace where our team members feel valued respected and empowered and are committed to providing equal opportunity regardless of gender identity ethnicity disability sexual orientation or life stage.,2022-03-29 15:41:25.474887,[Australia] Sydney New South Wales Australia,Full-Time,15
230,Senior ICT Business Analyst,Pangea Technology Australia,Position Description: Senior ICT Business Analyst The role of the ICT Business Analyst will be within the “Pangea Technology Australia Pty Ltd” company reporting to the Research and Development Manager will be responsible for ensuring that the technology being developed is delivered to a very high standard of quality on time and within the budgets allocated. The person in this role will also work closely with the R&D Manager and Principal Director to identify and evaluate other potential future innovations which may include technology used in industries beyond mining and construction as the business evolves. The duties of the role and skills required by the successful applicant are listed below. Skills & Experience: Qualifications Required: As a minimum the ICT Business Analyst will require formal qualifications in Computer Software Engineering and/or GIS/Geodetic Engineering/Sciences. Managers and Reports: The ICT Business Analyst will report to the R&D Manager. Initially there will be no direct reports however this will soon change as the company is expected to undergo relatively rapid growth and change in the months and years ahead.,2022-03-29 15:41:25.474984,[Australia] Perth Western Australia Australia,Full-Time,15
231,Emerging Communications & IoT Lead / Consultant(s),GHD,,2022-03-29 15:41:25.475050,[Australia] Melbourne Victoria Australia,Full-Time,15
232,Android Developer,MaxMine,MaxMine is looking for mid to senior level software engineers interested in building our new edge capability on top of the Android operating system using a limited set of target hardware. This is an exciting opportunity to work on cutting edge development of a new product capability with lots of challenging technical problems to solve. About Us MaxMine’s mission is to accelerate the sustainability of humanity's scarce resources. MaxMine is a tech company delivering game changing products to the mining sector leveraging big data technologies. Our products deliver significant cost savings productivity gains and carbon emissions improvements to global miners. We improve outcomes by gamifying improvement feedback to help everyone on site have their best day at work. We have an array of technical challenges in trying to push the envelope of what’s possible to help our clients run their operations better. We are upgrading our edge hardware stack from the ground up a greenfield development opportunity learning from the hard earned knowledge that we’ve built from over 5 million machine hours with hardware in the field. Job Description We are looking for mid and senior Android developers who will be implementing the next generation of our edge application suite. Working in the IOT team you will be responsible for implementing and maintaining new applications and features in support of our real-time analytics platform. MaxMine deploys captive Samsung tablets into the field on our clients sites we control the operating system and user environment - that means we don’t have to build for a fragmented ecosystem of devices firmwares and form-factors. If you want to work on real-time edge analytics applications in a fast paced environment at a scaling start-up - get in contact with us now. Responsibilities Skills Favourable Our Team’s Shared Values Our team's cohesion and success draws from a culture of shared values. We are looking for someone who identifies with all of the following to ensure they are a good fit for the company and vice versa.,2022-03-29 15:41:25.475086,[Australia] Greater Adelaide Area,Full-Time,15
233,Infrastructure Engineer,TKH Security,Park Assist® now part of the TKH Security group is one of Australia's genuine start-up success stories. Having been founded in Australia the company has grown into a global business and the parking industry’s leading camera focused innovator with the most camera-based parking guidance installations in the world. Our technology helps our clients deliver world-leading parking experiences to their customers whilst creating new revenue opportunities providing greater operational control and generating valuable business intelligence. With our experience in both parking and security verticals our integrated solutions challenge many traditional systems in the market. The Role We’re looking for an Infrastructure or Senior Systems Engineer to join its Technical Services team in Sydney where you will strengthen our team with your strong infrastructure experience – particularly in the network space. You will build relationships with internal and external stakeholders through your friendly and approachable manner and ability to assist in resolving their technical issues. This role will see you getting your hands dirty with technology each day. From our field equipment such as IoT sensors to the Layer 2/3 site networks servers and cloud infrastructure – you will primarily be responsible for managing and maintaining this entire infrastructure stack for a number of our client sites. This role involves the delivery of proactive infrastructure management services for our Service Plan customers (e.g. managed backup config management etc) and resolving Level 3 technical issues escalated by our Client Services team. Furthermore you will be a member of our companies global IT team helping to maintain our systems and shape technology adoption across our business. You will also have experience in a similar role be comfortable working independently and happy to take ownership of complex issues following through to resolution. In addition your role will include: To be considered you will need: This is a role with a lot of breadth and responsibility which would suit an individual with a passion for taking ownership of our infrastructure and improving the quality of our services. Why join us? If you'd like to join the team please drop your CV and a note introducing yourself to Rebecca via the link provided. Please note we are unable to accept applications from anyone who is not currently located in Australia or does not have full unrestricted work rights.,2022-03-29 15:41:25.475169,[Australia] Sydney New South Wales Australia,Full-Time,15
234,Sales Director,HCL Technologies,Work Location : Japan Core Job Responsibilities: Qualifications and Skills:,2022-03-29 15:41:25.475253,[Japan] Tokyo Japan,Full-Time,15
